First Level,Second Level,Third Level,Volume,Page,Quote,Notes
"Adams, C. Warren",Queen Jane,,1,220n,no,
"Adams, C. Warren",Ronald Vaughan,,1,220n,no,
"Adams, Henry",The Education of Henry Adams,,1,63n,yes,
Aeschylus,Agamemnon,Browning's translation of,4,26,yes,
Aeschylus,Agamemnon,Browning's translation of,4,27,no,
Aeschylus,Agamemnon,Browning's translation of,4,31,no,
Aeschylus,Agamemnon,Browning's translation of,4,73,no,
Aeschylus,Agamemnon,Browning's translation of,6,84,no,
Aeschylus,Agamemnon,FitzGerald's translation of,4,31,no,
Aeschylus,Agamemnon,FitzGerald's translation of,6,84,no,
Aeschylus,Agamemnon,FitzGerald's translation of,6,187,no,
Aeschylus,Agamemnon,Headlam's translation of,6,147,no,
Aeschylus,Agamemnon,,2,191,yes,
Aeschylus,Agamemnon,,2,302,yes,
Aeschylus,Agamemnon,,4,122,no,
Aeschylus,Agamemnon,,5,163-164,no,
Aeschylus,Agamemnon,,5,171,no,
Aeschylus,Agamemnon,,5,196,no,
Aeschylus,Oresteia,,4,26,no,
Aeschylus,The Persae,,5,163,no,
Aeschylus,The Persae,,5,171,no,
Aeschylus,The Persae,,6,295,no,
"Aesop, Fables of",,,5,279,no,
"Ainger, Alfred, ed.","Lamb's Poems, Plays and Miscellaneous Essays",,4,298,no,
"Ainger, Alfred, ed.","Lamb's Poems, Plays and Miscellaneous Essays",,4,304,no,
"Ainger, Alfred, ed.","Lamb's Poems, Plays and Miscellaneous Essays",,5,66-67,no,
"Ainger, Alfred, ed.","Lamb's Poems, Plays and Miscellaneous Essays",,6,194,no,
Alarum for London,,,3,81,no,
Aldine Edition of British Poets,,,3,189n,no,
Aldine Edition of British Poets,,,5,62,no,
"Aldrich, T.B. ed.",Cameos Selected from the Works of Walter Savage Landor,,2,268,no,
"Alexander, Patrick Proctor",ACS thanks for pamphlet on Carlyle,,4,228-229,no,
"Alexander, Patrick Proctor",Carlyle Redivivus,,4,211,no,
"Alexander, Patrick Proctor",Carlyle Redivivus,,4,228-229,no,
"Alexander, Patrick Proctor",Mill and Carlyle,,4,211n,no,
"Alfieri, Vittorio",Rosamunda,,6,142,no,
"Alfonso, fables of",,,5,279n,no,
All The Year Round,nine Christmas numbers of,,5,90,no,
All The Year Round,,,2,39,no,
"Allingham, William",book on the life of Campbell by,,3,52,no,
"Allingham, William",book on the life of Campbell by,,6,132,no,
"Allingham, William",Day and Night Songs,,2,367,no,
"Allingham, William",Day and Night Songs,,2,374,no,
